A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,93,2014-03-12,144,9.011,33.563,0.263,0.516,2.062,0.042,1.81,31.197,24.142
-123.505,48.59166667,93,2014-03-12,145,9.02,33.577,0.267,0.515,2.064,0.038,1.666,31.203,24.145
-123.505,48.59166667,93,2014-03-12,146,9.028,33.588,0.277,0.514,2.064,0.038,1.661,31.207,24.147
-123.505,48.59166667,93,2014-03-12,147,9.029,33.591,0.285,0.514,2.071,0.036,1.583,31.208,24.148
-123.505,48.59166667,93,2014-03-12,148,9.035,33.601,0.288,0.513,2.062,0.035,1.526,31.213,24.151
-123.505,48.59166667,93,2014-03-12,149,9.038,33.605,0.278,0.513,2.067,0.037,1.618,31.214,24.152
-123.505,48.59166667,93,2014-03-12,150,9.039,33.608,0.315,0.513,2.073,0.035,1.504,31.215,24.152
-123.505,48.59166667,93,2014-03-12,151,9.04,33.61,0.335,0.512,2.064,0.031,1.361,31.217,24.154
-123.505,48.59166667,93,2014-03-12,152,9.04,33.612,0.293,0.512,2.068,0.034,1.491,31.219,24.155
-123.505,48.59166667,93,2014-03-12,153,9.041,33.615,0.285,0.512,2.079,0.034,1.491,31.22,24.156
-123.505,48.59166667,93,2014-03-12,154,9.04,33.616,0.288,0.512,2.072,0.03,1.304,31.222,24.157
-123.505,48.59166667,93,2014-03-12,155,9.045,33.624,0.284,0.511,2.078,0.03,1.304,31.225,24.159
-123.505,48.59166667,93,2014-03-12,156,9.05,33.63,0.296,0.511,2.077,0.03,1.299,31.227,24.16
-123.505,48.59166667,93,2014-03-12,157,9.05,33.631,0.293,0.511,2.082,0.031,1.347,31.227,24.16
-123.505,48.59166667,93,2014-03-12,158,9.05,33.633,0.281,0.511,2.08,0.031,1.334,31.228,24.161
-123.505,48.59166667,93,2014-03-12,159,9.05,33.634,0.285,0.511,2.082,0.03,1.295,31.229,24.161
-123.505,48.59166667,93,2014-03-12,160,9.051,33.636,0.281,0.511,2.081,0.03,1.317,31.23,24.162
-123.505,48.59166667,93,2014-03-12,161,9.048,33.635,0.288,0.511,2.08,0.028,1.234,31.231,24.163
-123.505,48.59166667,93,2014-03-12,162,9.047,33.635,0.299,0.511,2.081,0.031,1.334,31.232,24.164
-123.505,48.59166667,93,2014-03-12,163,9.048,33.637,0.296,0.51,2.084,0.028,1.212,31.233,24.165
-123.505,48.59166667,93,2014-03-12,164,9.048,33.638,0.298,0.51,2.085,0.027,1.164,31.233,24.166
-123.505,48.59166667,93,2014-03-12,165,9.047,33.639,0.299,0.51,2.085,0.029,1.247,31.234,24.166
-123.505,48.59166667,93,2014-03-12,166,9.047,33.64,0.299,0.51,2.089,0.026,1.142,31.234,24.166
-123.505,48.59166667,93,2014-03-12,167,9.048,33.641,0.299,0.51,2.089,0.027,1.173,31.235,24.167
-123.505,48.59166667,93,2014-03-12,168,9.051,33.646,0.348,0.51,2.088,0.028,1.221,31.237,24.168
-123.505,48.59166667,93,2014-03-12,169,9.056,33.653,0.396,0.51,2.092,0.026,1.121,31.239,24.168
-123.505,48.59166667,93,2014-03-12,170,9.057,33.654,0.401,0.51,2.088,0.026,1.134,31.239,24.168
-123.505,48.59166667,93,2014-03-12,171,9.057,33.655,0.398,0.51,2.091,0.028,1.208,31.239,24.169
-123.505,48.59166667,93,2014-03-12,172,9.058,33.657,0.398,0.51,2.089,0.026,1.134,31.24,24.169
-123.505,48.59166667,93,2014-03-12,173,9.061,33.661,0.405,0.51,2.096,0.027,1.156,31.242,24.17
-123.505,48.59166667,93,2014-03-12,174,9.06,33.662,0.405,0.51,2.096,0.027,1.156,31.243,24.171
-123.505,48.59166667,93,2014-03-12,175,9.054,33.657,0.405,0.509,2.091,0.025,1.073,31.242,24.172
-123.505,48.59166667,93,2014-03-12,176,9.055,33.659,0.405,0.51,2.102,0.027,1.19,31.243,24.172
-123.505,48.59166667,93,2014-03-12,177,9.058,33.663,0.409,0.509,2.097,0.025,1.095,31.245,24.173
-123.505,48.59166667,93,2014-03-12,178,9.06,33.666,0.408,0.51,2.096,0.027,1.177,31.246,24.173
-123.505,48.59166667,93,2014-03-12,179,9.065,33.673,0.401,0.509,2.1,0.025,1.103,31.247,24.174
-123.505,48.59166667,93,2014-03-12,180,9.066,33.675,0.405,0.51,2.094,0.028,1.204,31.249,24.175
-123.505,48.59166667,93,2014-03-12,181,9.067,33.677,0.405,0.509,2.097,0.025,1.073,31.25,24.176
-123.505,48.59166667,93,2014-03-12,182,9.067,33.678,0.405,0.51,2.097,0.027,1.195,31.25,24.176
-123.505,48.59166667,93,2014-03-12,183,9.067,33.68,0.405,0.509,2.104,0.024,1.038,31.252,24.177
-123.505,48.59166667,93,2014-03-12,184,9.065,33.679,0.405,0.509,2.099,0.028,1.212,31.252,24.178
-123.505,48.59166667,93,2014-03-12,185,9.061,33.676,0.405,0.509,2.1,0.023,1.02,31.252,24.178
-123.505,48.59166667,93,2014-03-12,186,9.06,33.676,0.408,0.509,2.103,0.026,1.121,31.252,24.178
-123.505,48.59166667,93,2014-03-12,187,9.061,33.677,0.408,0.509,2.103,0.026,1.116,31.252,24.179
-123.505,48.59166667,93,2014-03-12,188,9.061,33.678,0.422,0.509,2.102,0.026,1.142,31.253,24.179
-123.505,48.59166667,93,2014-03-12,189,9.061,33.679,0.422,0.509,2.107,0.024,1.055,31.253,24.179
-123.505,48.59166667,93,2014-03-12,190,9.062,33.681,0.411,0.509,2.116,0.023,1.012,31.254,24.18
-123.505,48.59166667,93,2014-03-12,191,9.063,33.683,0.407,0.507,2.177,0.019,0.837,31.255,24.18
-123.505,48.59166667,93,2014-03-12,192,9.062,33.683,0.406,0.507,2.203,0.018,0.781,31.255,24.181
-123.505,48.59166667,93,2014-03-12,193,9.061,33.683,0.406,0.506,2.22,0.016,0.715,31.255,24.181
-123.505,48.59166667,93,2014-03-12,194,9.061,33.684,0.405,0.506,2.222,0.016,0.711,31.256,24.181
-123.505,48.59166667,93,2014-03-12,195,9.061,33.684,0.405,0.506,2.224,0.016,0.715,31.256,24.181
-123.505,48.59166667,93,2014-03-12,196,9.061,33.685,0.405,0.507,2.219,0.02,0.859,31.256,24.181
-123.505,48.59166667,93,2014-03-12,197,9.061,33.685,0.405,0.506,2.221,0.015,0.632,31.256,24.182
-123.505,48.59166667,93,2014-03-12,198,9.061,33.686,0.408,0.506,2.227,0.015,0.65,31.257,24.182
-123.505,48.59166667,93,2014-03-12,199,9.061,33.687,0.401,0.506,2.219,0.019,0.811,31.257,24.182
-123.505,48.59166667,93,2014-03-12,200,9.065,33.692,0.416,0.506,2.218,0.016,0.702,31.258,24.183
-123.505,48.59166667,93,2014-03-12,201,9.068,33.695,0.408,0.506,2.226,0.016,0.685,31.259,24.183
-123.505,48.59166667,93,2014-03-12,202,9.067,33.695,0.414,0.506,2.27,0.016,0.685,31.259,24.183
-123.505,48.59166667,94,2014-04-09,1,10.042,29.422,2.071,3.681,345.11,9.678,423.698,26.25,20.123
-123.505,48.59166667,94,2014-04-09,2,9.253,30.726,20.258,3.729,258.09,9.868,431.315,28.17,21.738
-123.505,48.59166667,94,2014-04-09,3,8.676,31.166,39.714,3.262,212.97,7.09,309.673,29.071,22.526
-123.505,48.59166667,94,2014-04-09,4,7.92,31.161,46.71,2.876,149.08,6.203,270.77,29.695,23.122
-123.505,48.59166667,94,2014-04-09,5,7.773,31.104,38.04,2.622,98.732,5.685,248.124,29.758,23.191
-123.505,48.59166667,94,2014-04-09,6,7.695,31.063,23.291,2.443,69.971,5.361,233.972,29.782,23.22
-123.505,48.59166667,94,2014-04-09,7,7.672,31.065,14.895,2.314,50.594,5.125,223.662,29.803,23.24
-123.505,48.59166667,94,2014-04-09,8,7.661,31.066,10.769,2.218,40.041,4.951,216.075,29.813,23.249
-123.505,48.59166667,94,2014-04-09,9,7.612,31.042,7.558,2.142,32.25,4.784,208.799,29.83,23.269
-123.505,48.59166667,94,2014-04-09,10,7.587,31.032,4.841,2.083,26.246,4.711,205.589,29.84,23.281
-123.505,48.59166667,94,2014-04-09,11,7.547,31.013,2.131,2.045,21.881,4.699,205.067,29.853,23.296
-123.505,48.59166667,94,2014-04-09,12,7.523,31.004,1.048,2.021,18.636,4.693,204.816,29.863,23.307
-123.505,48.59166667,94,2014-04-09,13,7.511,31.007,0.7,2.007,16.338,4.695,204.914,29.877,23.32
-123.505,48.59166667,94,2014-04-09,14,7.5,31.013,0.517,1.999,14.489,4.703,205.242,29.893,23.334
-123.505,48.59166667,94,2014-04-09,15,7.48,31.018,0.737,1.995,12.838,4.702,205.217,29.915,23.354
-123.505,48.59166667,94,2014-04-09,16,7.465,31.014,0.519,1.989,11.417,4.691,204.726,29.922,23.362
-123.505,48.59166667,94,2014-04-09,17,7.458,31.016,0.314,1.986,10.151,4.687,204.555,29.931,23.369
-123.505,48.59166667,94,2014-04-09,18,7.456,31.02,0.248,1.983,9.125,4.68,204.244,29.935,23.373
-123.505,48.59166667,94,2014-04-09,19,7.452,31.027,0.231,1.98,8.227,4.676,204.046,29.946,23.382
-123.505,48.59166667,94,2014-04-09,20,7.45,31.038,0.232,1.978,7.49,4.672,203.882,29.96,23.393
-123.505,48.59166667,94,2014-04-09,21,7.444,31.042,0.27,1.975,6.871,4.65,202.903,29.969,23.401
-123.505,48.59166667,94,2014-04-09,22,7.438,31.053,0.246,1.97,6.307,4.631,202.084,29.984,23.414
-123.505,48.59166667,94,2014-04-09,23,7.443,31.073,0.25,1.966,5.829,4.628,201.938,30.001,23.427
-123.505,48.59166667,94,2014-04-09,24,7.454,31.101,0.223,1.963,5.41,4.626,201.865,30.022,23.441
-123.505,48.59166667,94,2014-04-09,25,7.449,31.12,0.228,1.963,5.045,4.642,202.546,30.046,23.461
-123.505,48.59166667,94,2014-04-09,26,7.442,31.131,0.245,1.965,4.749,4.664,203.508,30.062,23.475
-123.505,48.59166667,94,2014-04-09,27,7.442,31.138,0.235,1.967,4.476,4.657,203.21,30.07,23.481
-123.505,48.59166667,94,2014-04-09,28,7.456,31.165,0.192,1.966,4.257,4.623,201.702,30.087,23.492
-123.505,48.59166667,94,2014-04-09,29,7.485,31.222,0.196,1.96,4.105,4.583,199.953,30.121,23.515
-123.505,48.59166667,94,2014-04-09,30,7.476,31.226,0.197,1.954,3.943,4.563,199.104,30.133,23.526
-123.505,48.59166667,94,2014-04-09,31,7.458,31.229,0.224,1.947,3.82,4.542,198.163,30.152,23.543
-123.505,48.59166667,94,2014-04-09,32,7.495,31.289,0.189,1.941,3.693,4.52,197.234,30.184,23.563
-123.505,48.59166667,94,2014-04-09,33,7.513,31.32,0.199,1.935,3.611,4.511,196.8,30.201,23.574
-123.505,48.59166667,94,2014-04-09,34,7.517,31.333,0.201,1.931,3.528,4.513,196.912,30.21,23.581
-123.505,48.59166667,94,2014-04-09,35,7.523,31.342,0.22,1.93,3.437,4.515,196.972,30.215,23.584
-123.505,48.59166667,94,2014-04-09,36,7.527,31.348,0.221,1.928,3.363,4.512,196.867,30.217,23.585
-123.505,48.59166667,94,2014-04-09,37,7.534,31.36,0.205,1.927,3.3,4.512,196.849,30.224,23.589
-123.505,48.59166667,94,2014-04-09,38,7.537,31.367,0.218,1.927,3.273,4.523,197.337,30.227,23.592
-123.505,48.59166667,94,2014-04-09,39,7.545,31.378,0.224,1.928,3.233,4.529,197.616,30.231,23.594
-123.505,48.59166667,94,2014-04-09,40,7.55,31.386,0.195,1.93,3.161,4.539,198.021,30.236,23.597
-123.505,48.59166667,94,2014-04-09,41,7.559,31.4,0.183,1.932,3.134,4.55,198.518,30.241,23.6
-123.505,48.59166667,94,2014-04-09,42,7.579,31.428,0.2,1.935,3.119,4.561,199.001,30.253,23.607
-123.505,48.59166667,94,2014-04-09,43,7.606,31.466,0.192,1.938,3.076,4.562,199.017,30.27,23.616
-123.505,48.59166667,94,2014-04-09,44,7.617,31.482,0.189,1.939,3.071,4.552,198.584,30.278,23.62
-123.505,48.59166667,94,2014-04-09,45,7.634,31.509,0.179,1.939,3.037,4.535,197.875,30.291,23.629
-123.505,48.59166667,94,2014-04-09,46,7.652,31.539,0.182,1.937,3.014,4.52,197.21,30.306,23.638
-123.505,48.59166667,94,2014-04-09,47,7.671,31.566,0.175,1.934,3.022,4.489,195.843,30.318,23.645
-123.505,48.59166667,94,2014-04-09,48,7.685,31.591,0.188,1.926,3.001,4.445,193.909,30.333,23.655
-123.505,48.59166667,94,2014-04-09,49,7.705,31.626,0.188,1.918,2.978,4.427,193.117,30.351,23.666
-123.505,48.59166667,94,2014-04-09,50,7.716,31.646,0.185,1.914,2.971,4.448,194.036,30.364,23.675
-123.505,48.59166667,94,2014-04-09,51,7.736,31.687,0.192,1.914,2.955,4.45,194.142,30.388,23.691
-123.505,48.59166667,94,2014-04-09,52,7.747,31.708,0.192,1.912,2.951,4.436,193.534,30.401,23.7
-123.505,48.59166667,94,2014-04-09,53,7.75,31.714,0.188,1.911,2.947,4.449,194.074,30.405,23.702
-123.505,48.59166667,94,2014-04-09,54,7.752,31.717,0.192,1.912,2.929,4.459,194.532,30.406,23.703
-123.505,48.59166667,94,2014-04-09,55,7.755,31.724,0.209,1.913,2.922,4.454,194.309,30.409,23.705
-123.505,48.59166667,94,2014-04-09,56,7.757,31.729,0.229,1.912,2.931,4.448,194.06,30.413,23.708
-123.505,48.59166667,94,2014-04-09,57,7.762,31.74,0.198,1.913,2.908,4.458,194.478,30.419,23.712
-123.505,48.59166667,94,2014-04-09,58,7.772,31.756,0.201,1.913,2.914,4.448,194.024,30.428,23.718
-123.505,48.59166667,94,2014-04-09,59,7.783,31.769,0.207,1.912,2.92,4.434,193.452,30.432,23.719
-123.505,48.59166667,94,2014-04-09,60,7.783,31.774,0.21,1.91,2.915,4.426,193.072,30.436,23.723
-123.505,48.59166667,94,2014-04-09,61,7.783,31.78,0.923,1.907,2.909,4.416,192.665,30.442,23.727
-123.505,48.59166667,94,2014-04-09,62,7.787,31.79,1.278,1.903,2.9,4.411,192.429,30.449,23.732
-123.505,48.59166667,94,2014-04-09,63,7.797,31.806,-0.697,1.89,2.875,4.386,191.35,30.457,23.737
-123.505,48.59166667,94,2014-04-09,64,7.806,31.821,0.198,1.905,2.866,4.474,195.166,30.464,23.741
-123.505,48.59166667,94,2014-04-09,65,7.818,31.84,0.207,1.913,2.842,4.502,196.391,30.473,23.747
-123.505,48.59166667,94,2014-04-09,66,7.823,31.848,0.226,1.922,2.864,4.514,196.927,30.477,23.749
-123.505,48.59166667,94,2014-04-09,67,7.826,31.852,0.224,1.924,2.854,4.488,195.789,30.478,23.75
-123.505,48.59166667,94,2014-04-09,68,7.834,31.861,0.234,1.923,2.854,4.478,195.361,30.48,23.75
-123.505,48.59166667,94,2014-04-09,69,7.833,31.861,0.259,1.923,2.862,4.499,196.268,30.481,23.751
-123.505,48.59166667,94,2014-04-09,70,7.831,31.864,0.29,1.929,2.863,4.553,198.636,30.485,23.754
-123.505,48.59166667,94,2014-04-09,71,7.84,31.878,0.281,1.938,2.852,4.58,199.796,30.491,23.758
-123.505,48.59166667,94,2014-04-09,72,7.858,31.9,0.291,1.943,2.854,4.554,198.661,30.499,23.762
-123.505,48.59166667,94,2014-04-09,73,7.876,31.921,0.329,1.942,2.846,4.501,196.366,30.505,23.764
-123.505,48.59166667,94,2014-04-09,74,7.88,31.93,0.312,1.933,2.859,4.436,193.526,30.51,23.767
-123.505,48.59166667,94,2014-04-09,75,7.876,31.932,0.293,1.921,2.845,4.384,191.261,30.515,23.772
-123.505,48.59166667,94,2014-04-09,76,7.853,31.915,0.265,1.906,2.853,4.32,188.446,30.517,23.777
-123.505,48.59166667,94,2014-04-09,77,7.85,31.92,0.253,1.888,2.844,4.252,185.501,30.524,23.782
-123.505,48.59166667,94,2014-04-09,78,7.849,31.923,0.237,1.87,2.848,4.183,182.455,30.528,23.786
-123.505,48.59166667,94,2014-04-09,79,7.855,31.935,0.238,1.847,2.85,4.09,178.406,30.535,23.791
-123.505,48.59166667,94,2014-04-09,80,7.863,31.949,0.231,1.825,2.846,4.058,177.022,30.543,23.796
-123.505,48.59166667,94,2014-04-09,81,7.865,31.963,0.231,1.809,2.853,4.067,177.413,30.555,23.805
-123.505,48.59166667,94,2014-04-09,82,7.87,31.974,0.222,1.78,2.83,4.036,176.034,30.563,23.81
-123.505,48.59166667,94,2014-04-09,83,7.877,31.986,0.218,1.768,2.816,3.99,174.036,30.569,23.814
-123.505,48.59166667,94,2014-04-09,84,7.88,31.993,0.21,1.748,2.806,3.877,169.128,30.573,23.817
-123.505,48.59166667,94,2014-04-09,85,7.886,32.002,0.213,1.728,2.803,3.724,162.445,30.577,23.819
-123.505,48.59166667,94,2014-04-09,86,7.899,32.02,0.202,1.684,2.808,3.419,149.122,30.584,23.823
-123.505,48.59166667,94,2014-04-09,87,7.925,32.054,0.185,1.613,2.8,3.138,136.894,30.597,23.829
-123.505,48.59166667,94,2014-04-09,88,7.992,32.139,0.171,1.548,2.803,2.999,130.816,30.627,23.844
-123.505,48.59166667,94,2014-04-09,89,8.038,32.207,0.153,1.498,2.798,2.871,125.213,30.658,23.861
-123.505,48.59166667,94,2014-04-09,90,8.048,32.219,0.157,1.443,2.803,2.594,113.148,30.662,23.864
-123.505,48.59166667,94,2014-04-09,91,8.073,32.25,0.147,1.374,2.801,2.393,104.393,30.673,23.869
-123.505,48.59166667,94,2014-04-09,92,8.13,32.318,0.124,1.324,2.803,2.356,102.774,30.693,23.876
-123.505,48.59166667,94,2014-04-09,93,8.2,32.402,0.121,1.292,2.803,2.304,100.474,30.721,23.888
-123.505,48.59166667,94,2014-04-09,94,8.179,32.394,0.122,1.264,2.79,2.269,98.947,30.73,23.899
-123.505,48.59166667,94,2014-04-09,95,8.184,32.408,0.137,1.249,2.793,2.299,100.254,30.739,23.904
-123.505,48.59166667,94,2014-04-09,96,8.181,32.416,0.121,1.248,2.799,2.375,103.573,30.75,23.914
-123.505,48.59166667,94,2014-04-09,97,8.14,32.38,0.122,1.259,2.794,2.429,105.95,30.748,23.918
-123.505,48.59166667,94,2014-04-09,98,8.076,32.323,0.129,1.265,2.788,2.404,104.845,30.743,23.923
-123.505,48.59166667,94,2014-04-09,99,8.012,32.27,0.139,1.262,2.794,2.348,102.419,30.743,23.932
-123.505,48.59166667,94,2014-04-09,100,8.015,32.281,0.143,1.249,2.788,2.257,98.459,30.752,23.939
-123.505,48.59166667,94,2014-04-09,101,8.026,32.298,0.128,1.228,2.789,2.145,93.556,30.759,23.943
-123.505,48.59166667,94,2014-04-09,102,8.042,32.328,0.125,1.199,2.787,2.04,88.962,30.777,23.954
-123.505,48.59166667,94,2014-04-09,103,8.058,32.359,0.119,1.172,2.796,1.991,86.846,30.795,23.967
-123.505,48.59166667,94,2014-04-09,104,8.079,32.398,0.104,1.143,2.786,1.945,84.825,30.817,23.981
-123.505,48.59166667,94,2014-04-09,105,8.086,32.415,0.104,1.111,2.783,1.909,83.263,30.828,23.988
-123.505,48.59166667,94,2014-04-09,106,8.097,32.438,0.097,1.08,2.772,1.812,79.006,30.842,23.998
-123.505,48.59166667,94,2014-04-09,107,8.115,32.471,0.088,1.035,2.768,1.588,69.24,30.861,24.01
-123.505,48.59166667,94,2014-04-09,108,8.132,32.499,0.077,1.017,2.766,1.538,67.085,30.875,24.019
-123.505,48.59166667,94,2014-04-09,109,8.147,32.522,0.083,1.005,2.776,1.518,66.216,30.886,24.025
-123.505,48.59166667,94,2014-04-09,110,8.162,32.543,0.068,0.996,2.769,1.503,65.536,30.895,24.03
-123.505,48.59166667,94,2014-04-09,111,8.165,32.547,0.068,0.988,2.765,1.474,64.28,30.896,24.03
-123.505,48.59166667,94,2014-04-09,112,8.171,32.556,0.076,0.979,2.776,1.436,62.618,30.899,24.032
-123.505,48.59166667,94,2014-04-09,113,8.181,32.569,0.068,0.967,2.776,1.377,60.071,30.904,24.035
-123.505,48.59166667,94,2014-04-09,114,8.195,32.587,0.071,0.952,2.765,1.327,57.881,30.91,24.038
-123.505,48.59166667,94,2014-04-09,115,8.23,32.629,0.075,0.937,2.767,1.297,56.582,30.923,24.042
-123.505,48.59166667,94,2014-04-09,116,8.254,32.657,0.071,0.927,2.772,1.296,56.52,30.93,24.045
-123.505,48.59166667,94,2014-04-09,117,8.266,32.673,0.103,0.912,2.769,1.276,55.649,30.936,24.048
-123.505,48.59166667,94,2014-04-09,118,8.271,32.682,0.066,0.906,2.767,1.262,55.033,30.94,24.05
-123.505,48.59166667,94,2014-04-09,119,8.273,32.687,0.068,0.901,2.768,1.228,53.537,30.944,24.053
-123.505,48.59166667,94,2014-04-09,120,8.288,32.707,0.076,0.894,2.769,1.191,51.949,30.951,24.056
-123.505,48.59166667,94,2014-04-09,121,8.305,32.726,0.068,0.883,2.772,1.137,49.585,30.957,24.058
-123.505,48.59166667,94,2014-04-09,122,8.33,32.757,0.09,0.871,2.763,1.092,47.632,30.966,24.062
-123.505,48.59166667,94,2014-04-09,123,8.365,32.797,0.08,0.857,2.772,1.035,45.137,30.977,24.066
-123.505,48.59166667,94,2014-04-09,124,8.382,32.819,0.068,0.841,2.765,0.97,42.311,30.984,24.068
-123.505,48.59166667,94,2014-04-09,125,8.408,32.849,0.092,0.822,2.77,0.906,39.524,30.993,24.072
-123.505,48.59166667,94,2014-04-09,126,8.432,32.878,0.125,0.806,2.765,0.866,37.745,31.001,24.075
-123.505,48.59166667,94,2014-04-09,127,8.469,32.922,0.098,0.791,2.763,0.824,35.93,31.014,24.08
-123.505,48.59166667,94,2014-04-09,128,8.487,32.943,0.114,0.777,2.771,0.778,33.924,31.02,24.082
-123.505,48.59166667,94,2014-04-09,129,8.508,32.968,0.071,0.762,2.767,0.721,31.43,31.027,24.084
-123.505,48.59166667,94,2014-04-09,130,8.535,33,0.065,0.744,2.766,0.648,28.237,31.037,24.088
-123.505,48.59166667,94,2014-04-09,131,8.557,33.026,0.109,0.724,2.773,0.587,25.594,31.044,24.09
-123.505,48.59166667,94,2014-04-09,132,8.605,33.082,0.115,0.705,2.767,0.534,23.292,31.06,24.096
-123.505,48.59166667,94,2014-04-09,133,8.631,33.112,0.081,0.687,2.765,0.475,20.71,31.068,24.098
-123.505,48.59166667,94,2014-04-09,134,8.647,33.13,0.068,0.667,2.774,0.403,17.566,31.072,24.099
-123.505,48.59166667,94,2014-04-09,135,8.666,33.153,0.071,0.647,2.765,0.335,14.6,31.079,24.101
-123.505,48.59166667,94,2014-04-09,136,8.714,33.21,0.092,0.625,2.767,0.255,11.129,31.096,24.108
-123.505,48.59166667,94,2014-04-09,137,8.753,33.257,0.086,0.6,2.774,0.158,6.899,31.11,24.113
-123.505,48.59166667,94,2014-04-09,138,8.788,33.299,0.104,0.573,2.768,0.095,4.125,31.122,24.118
-123.505,48.59166667,94,2014-04-09,139,8.82,33.341,0.191,0.554,2.77,0.076,3.292,31.136,24.124
-123.505,48.59166667,94,2014-04-09,140,8.841,33.367,0.14,0.541,2.772,0.07,3.044,31.145,24.127
-123.505,48.59166667,94,2014-04-09,141,8.85,33.379,0.103,0.533,2.766,0.056,2.438,31.149,24.129
-123.505,48.59166667,94,2014-04-09,142,8.858,33.389,0.163,0.526,2.767,0.042,1.84,31.152,24.13
-123.505,48.59166667,94,2014-04-09,143,8.873,33.409,0.153,0.521,2.774,0.042,1.849,31.159,24.133
-123.505,48.59166667,94,2014-04-09,144,8.889,33.43,0.116,0.518,2.767,0.041,1.784,31.166,24.137
-123.505,48.59166667,94,2014-04-09,145,8.897,33.44,0.116,0.516,2.768,0.039,1.718,31.169,24.138
-123.505,48.59166667,94,2014-04-09,146,8.914,33.46,0.111,0.515,2.775,0.038,1.657,31.175,24.14
-123.505,48.59166667,94,2014-04-09,147,8.932,33.484,0.107,0.514,2.77,0.036,1.565,31.183,24.143
-123.505,48.59166667,94,2014-04-09,148,8.941,33.495,0.111,0.513,2.767,0.035,1.531,31.186,24.144
-123.505,48.59166667,94,2014-04-09,149,8.975,33.538,0.119,0.513,2.77,0.037,1.622,31.2,24.15
-123.505,48.59166667,94,2014-04-09,150,8.988,33.554,0.122,0.513,2.772,0.033,1.439,31.205,24.152
-123.505,48.59166667,94,2014-04-09,151,8.992,33.559,0.125,0.512,2.768,0.033,1.426,31.207,24.153
-123.505,48.59166667,94,2014-04-09,152,9,33.57,0.122,0.512,2.767,0.033,1.456,31.21,24.154
-123.505,48.59166667,94,2014-04-09,153,9.009,33.582,0.125,0.512,2.776,0.034,1.478,31.214,24.156
-123.505,48.59166667,94,2014-04-09,154,9.014,33.589,0.17,0.512,2.767,0.033,1.456,31.216,24.157
-123.505,48.59166667,94,2014-04-09,155,9.016,33.593,0.221,0.512,2.766,0.03,1.291,31.218,24.158
-123.505,48.59166667,94,2014-04-09,156,9.02,33.599,0.227,0.511,2.775,0.029,1.252,31.221,24.16
-123.505,48.59166667,94,2014-04-09,157,9.023,33.604,0.221,0.511,2.772,0.031,1.369,31.222,24.161
-123.505,48.59166667,94,2014-04-09,158,9.025,33.607,0.171,0.511,2.774,0.031,1.352,31.223,24.161
-123.505,48.59166667,94,2014-04-09,159,9.027,33.61,0.123,0.511,2.767,0.031,1.356,31.224,24.161
-123.505,48.59166667,94,2014-04-09,160,9.028,33.612,0.13,0.511,2.775,0.029,1.269,31.225,24.162
-123.505,48.59166667,94,2014-04-09,161,9.03,33.615,0.122,0.511,2.772,0.03,1.313,31.227,24.163
-123.505,48.59166667,94,2014-04-09,162,9.031,33.618,0.122,0.511,2.78,0.027,1.173,31.228,24.163
-123.505,48.59166667,94,2014-04-09,163,9.033,33.621,0.122,0.51,2.793,0.03,1.304,31.229,24.165
-123.505,48.59166667,94,2014-04-09,164,9.037,33.628,0.122,0.511,2.79,0.031,1.339,31.232,24.166
-123.505,48.59166667,94,2014-04-09,165,9.039,33.631,0.125,0.51,2.788,0.028,1.221,31.234,24.167
-123.505,48.59166667,94,2014-04-09,166,9.041,33.635,0.151,0.511,2.798,0.029,1.278,31.236,24.168
-123.505,48.59166667,94,2014-04-09,167,9.044,33.64,0.178,0.51,2.791,0.026,1.134,31.238,24.169
-123.505,48.59166667,94,2014-04-09,168,9.045,33.642,0.138,0.51,2.79,0.025,1.108,31.239,24.17
